experiment,sharpe,ann_return,max_dd,time_s,desc
A1_lgbm_maxw50_tc5,0.8323728461224623,0.11198669129713827,-0.2041557298309853,6.135710954666138,LGBM macro maxW=0.5 tc=5bps
A2_lgbm_lam3_maxw50,0.8079251621722944,0.10913817924961793,-0.20532220733969475,6.1340110301971436,LGBM lam=3 maxW=0.5
A3_lgbm_shrink10,0.7959637267449088,0.10694987600565456,-0.20678689038886466,6.39107084274292,LGBM shrink=0.1
A14_lgbm_lam20,0.7796539586307574,0.09855717126743106,-0.19846789975638623,9.043367147445679,LGBM lam=20 conservative
A13_lgbm_lam1,0.73106674009972,0.10061551815391993,-0.21124018140508083,6.8376970291137695,LGBM lam=1 aggressive
A10_rf_maxw50,0.5005941902462081,0.06798088751876355,-0.17805640395607225,47.08760333061218,RF macro maxW=0.5
A9_lgbm_shallow,0.4977809101988679,0.06683549726257276,-0.25865118526990727,2.4102869033813477,"LGBM shallow (d=3,n=100)"
A5_gbr_maxw50,0.46523254365772493,0.06506688838004844,-0.2013958831266487,92.13789916038513,GBR macro maxW=0.5
A12_lgbm_biweekly,0.3226387748190584,0.04364442930908047,-0.25981511598599705,16.658487796783447,LGBM biweekly rebal
A8_lgbm_deep,0.24800383904645318,0.0327790923519552,-0.20067265910003718,23.302438259124756,"LGBM deep (d=8,n=500)"
A4_xgb_maxw50,0.20900694361119657,0.029409970575135076,-0.2837415219917746,3.211276054382324,XGB macro maxW=0.5
A15_ridge_maxw50,-0.02369883493386654,-0.003120258165158802,-0.24924489233671598,0.5496041774749756,Ridge macro maxW=0.5
A11_lasso_maxw50,-0.10400637698013201,-0.01368477794476552,-0.2600580761308511,2.800098180770874,Lasso macro maxW=0.5
A6_lgbm_5d,-0.2590078347815701,-0.03694580179652883,-0.21591494738647354,7.302983283996582,LGBM 5d horizon
A7_lgbm_63d,-0.2646449140843973,-0.03302969805076361,-0.19905782492103896,6.923242092132568,LGBM 63d horizon
